provinceName,cityName,province_confirmedCount,province_curedCount,province_deadCount,city_confirmedCount,city_curedCount,city_deadCount,updateTime
湖北省,武汉,65596,23222,2641,47824,13328,2104,2020-02-27
湖北省,孝感,65596,23222,2641,3516,1622,113,2020-02-27
湖北省,黄冈,65596,23222,2641,2904,1948,110,2020-02-27
湖北省,鄂州,65596,23222,2641,1389,613,42,2020-02-27
湖北省,荆州,65596,23222,2641,1579,867,45,2020-02-27
湖北省,随州,65596,23222,2641,1307,693,37,2020-02-27
湖北省,宜昌,65596,23222,2641,929,396,30,2020-02-27
湖北省,襄阳,65596,23222,2641,1175,701,31,2020-02-27
湖北省,荆门,65596,23222,2641,923,508,37,2020-02-27
湖北省,黄石,65596,23222,2641,1013,624,33,2020-02-27
湖北省,十堰,65596,23222,2641,671,372,3,2020-02-27
湖北省,咸宁,65596,23222,2641,836,616,11,2020-02-27
湖北省,仙桃,65596,23222,2641,575,356,19,2020-02-27
湖北省,天门,65596,23222,2641,496,307,13,2020-02-27
湖北省,潜江,65596,23222,2641,197,97,9,2020-02-27
湖北省,恩施州,65596,23222,2641,251,164,4,2020-02-27
湖北省,神农架林区,65596,23222,2641,11,10,0,2020-02-27
浙江省,温州,1205,885,1,504,354,1,2020-02-27
浙江省,台州,1205,885,1,146,101,0,2020-02-27
浙江省,省十里丰监狱,1205,885,1,36,3,0,2020-02-27
浙江省,杭州,1205,885,1,169,146,0,2020-02-27
浙江省,宁波,1205,885,1,157,134,0,2020-02-27
浙江省,嘉兴,1205,885,1,45,32,0,2020-02-27
浙江省,绍兴,1205,885,1,42,31,0,2020-02-27
浙江省,金华,1205,885,1,55,46,0,2020-02-27
浙江省,舟山,1205,885,1,10,6,0,2020-02-27
浙江省,丽水,1205,885,1,17,14,0,2020-02-27
浙江省,衢州,1205,885,1,14,11,0,2020-02-27
浙江省,湖州,1205,885,1,10,7,0,2020-02-27
四川省,成都,534,313,3,143,83,3,2020-02-27
四川省,甘孜州,534,313,3,74,18,0,2020-02-27
四川省,达州,534,313,3,42,20,0,2020-02-27
四川省,南充,534,313,3,39,23,0,2020-02-27
四川省,巴中,534,313,3,24,11,0,2020-02-27
四川省,广安,534,313,3,30,20,0,2020-02-27
四川省,德阳,534,313,3,18,9,0,2020-02-27
四川省,绵阳,534,313,3,22,14,0,2020-02-27
四川省,泸州,534,313,3,24,17,0,2020-02-27
四川省,内江,534,313,3,22,15,0,2020-02-27
四川省,凉山州,534,313,3,13,9,0,2020-02-27
四川省,遂宁,534,313,3,17,15,0,2020-02-27
四川省,宜宾,534,313,3,12,10,0,2020-02-27
四川省,眉山,534,313,3,8,6,0,2020-02-27
四川省,资阳,534,313,3,4,2,0,2020-02-27
四川省,雅安,534,313,3,7,6,0,2020-02-27
四川省,攀枝花,534,313,3,16,16,0,2020-02-27
四川省,自贡,534,313,3,9,9,0,2020-02-27
四川省,广元,534,313,3,6,6,0,2020-02-27
四川省,乐山,534,313,3,3,3,0,2020-02-27
四川省,阿坝州,534,313,3,1,1,0,2020-02-27
安徽省,阜阳,989,768,6,155,112,0,2020-02-27
安徽省,合肥,989,768,6,174,135,1,2020-02-27
安徽省,蚌埠,989,768,6,160,127,5,2020-02-27
安徽省,六安,989,768,6,69,48,0,2020-02-27
安徽省,亳州,989,768,6,108,89,0,2020-02-27
安徽省,马鞍山,989,768,6,38,25,0,2020-02-27
安徽省,宿州,989,768,6,41,30,0,2020-02-27
安徽省,安庆,989,768,6,83,74,0,2020-02-27
安徽省,淮南,989,768,6,27,20,0,2020-02-27
安徽省,芜湖,989,768,6,33,28,0,2020-02-27
安徽省,淮北,989,768,6,27,22,0,2020-02-27
安徽省,池州,989,768,6,17,13,0,2020-02-27
安徽省,滁州,989,768,6,13,9,0,2020-02-27
安徽省,铜陵,989,768,6,29,26,0,2020-02-27
安徽省,黄山,989,768,6,9,6,0,2020-02-27
安徽省,宣城,989,768,6,6,4,0,2020-02-27
福建省,莆田,296,226,1,56,36,0,2020-02-27
福建省,泉州,296,226,1,47,29,0,2020-02-27
福建省,南平,296,226,1,20,13,0,2020-02-27
福建省,福州,296,226,1,72,65,1,2020-02-27
福建省,三明,296,226,1,14,8,0,2020-02-27
福建省,漳州,296,226,1,20,15,0,2020-02-27
福建省,厦门,296,226,1,35,31,0,2020-02-27
福建省,宁德,296,226,1,26,23,0,2020-02-27
福建省,龙岩,296,226,1,6,6,0,2020-02-27
上海市,外地来沪人员,337,276,3,111,89,1,2020-02-27
上海市,浦东新区,337,276,3,60,50,0,2020-02-27
上海市,宝山区,337,276,3,21,13,0,2020-02-27
上海市,徐汇区,337,276,3,18,15,0,2020-02-27
上海市,静安区,337,276,3,16,13,0,2020-02-27
上海市,松江区,337,276,3,14,11,0,2020-02-27
上海市,嘉定区,337,276,3,9,6,0,2020-02-27
上海市,闵行区,337,276,3,19,17,0,2020-02-27
上海市,普陀区,337,276,3,11,9,0,2020-02-27
上海市,杨浦区,337,276,3,9,7,0,2020-02-27
上海市,黄浦区,337,276,3,6,4,0,2020-02-27
上海市,奉贤区,337,276,3,9,8,0,2020-02-27
上海市,虹口区,337,276,3,7,6,0,2020-02-27
上海市,青浦区,337,276,3,6,5,0,2020-02-27
上海市,金山区,337,276,3,4,3,0,2020-02-27
上海市,崇明区,337,276,3,4,3,0,2020-02-27
上海市,长宁区,337,276,3,13,13,0,2020-02-27
上海市,待明确地区,337,276,3,0,4,2,2020-02-27
河北省,唐山,317,264,6,58,36,1,2020-02-27
河北省,沧州,317,264,6,48,35,3,2020-02-27
河北省,张家口,317,264,6,40,32,0,2020-02-27
河北省,石家庄,317,264,6,29,24,0,2020-02-27
河北省,邯郸,317,264,6,32,30,0,2020-02-27
河北省,秦皇岛,317,264,6,10,8,1,2020-02-27
河北省,保定,317,264,6,32,32,0,2020-02-27
河北省,廊坊,317,264,6,30,30,0,2020-02-27
河北省,邢台,317,264,6,23,22,1,2020-02-27
河北省,衡水,317,264,6,8,8,0,2020-02-27
河北省,承德,317,264,6,7,7,0,2020-02-27
北京市,朝阳区,410,248,5,70,0,0,2020-02-27
北京市,海淀区,410,248,5,62,0,0,2020-02-27
北京市,西城区,410,248,5,53,0,0,2020-02-27
北京市,丰台区,410,248,5,42,3,0,2020-02-27
北京市,大兴区,410,248,5,39,2,0,2020-02-27
北京市,昌平区,410,248,5,29,0,0,2020-02-27
北京市,外地来京人员,410,248,5,25,2,0,2020-02-27
北京市,通州区,410,248,5,19,1,0,2020-02-27
北京市,房山区,410,248,5,16,3,0,2020-02-27
北京市,石景山区,410,248,5,14,1,0,2020-02-27
北京市,东城区,410,248,5,13,1,0,2020-02-27
北京市,顺义区,410,248,5,10,0,0,2020-02-27
北京市,怀柔区,410,248,5,7,0,0,2020-02-27
北京市,密云区,410,248,5,7,0,0,2020-02-27
北京市,门头沟区,410,248,5,3,2,0,2020-02-27
北京市,延庆区,410,248,5,1,0,0,2020-02-27
北京市,待明确地区,410,248,5,0,233,5,2020-02-27
宁夏回族自治区,银川,72,65,0,33,30,0,2020-02-27
宁夏回族自治区,吴忠,72,65,0,28,25,0,2020-02-27
宁夏回族自治区,中卫,72,65,0,4,3,0,2020-02-27
宁夏回族自治区,固原,72,65,0,5,5,0,2020-02-27
宁夏回族自治区,宁东,72,65,0,1,1,0,2020-02-27
